0 30.413659
1 28.218859
2 25.553745
3 27.278231
4 28.062088
5 23.829259
6 21.320916
7 22.575087
8 21.164144
9 16.147458
10 16.931315
11 15.050058
12 14.893287
13 12.228172
14 7.995343
15 10.346915
16 6.427629
17 8.935972
18 6.584400
19 5.643772
20 6.897943
21 4.232829
22 5.643772
23 3.919286
24 3.135429
25 3.762515
26 3.135429
27 2.351572
28 1.881257
29 2.351572
30 2.038029
31 2.194800
32 2.194800
33 1.097400
34 1.097400
35 1.097400
36 0.940629
37 1.254172
38 0.783857
39 0.627086
40 0.783857
41 0.156771
42 0.156771
43 0.313543
44 0.940629
45 0.313543
46 0.470314
47 0.313543
48 0.156771
49 0.156771
