0 0.331782
1 0.442376
2 0.995346
3 1.105940
4 1.437722
5 2.211881
6 2.322475
7 3.981385
8 3.649603
9 5.529702
10 4.644949
11 8.626335
12 8.736929
13 8.183958
14 8.405146
15 11.722967
16 10.064057
17 14.045442
18 12.828908
19 14.266630
20 15.372570
21 14.709006
22 17.142075
23 14.377224
24 18.800985
25 14.598412
26 17.142075
27 12.165344
28 14.598412
29 15.151382
30 10.838215
31 10.948809
32 9.511087
33 9.732275
34 8.847523
35 10.064057
36 6.746236
37 9.068711
38 6.303860
39 7.299206
40 5.529702
41 4.644949
42 3.760197
43 4.423761
44 3.760197
45 4.534355
46 2.101287
47 2.875445
48 2.543663
49 2.875445
